id,Question,Answer,wrong.ans0-9,Explanation
AAA032,this is longa question which is very long quesstion and can be as long as a paraghraph.032,"asnwaer0, asnwaer1, answer33","wrongans0, wrongans1, wrongans2, wrongans34",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 032
AAA033,this is longa question which is very long quesstion and can be as long as a paraghraph.033,"asnwaer0, asnwaer1, answer34","wrongans0, wrongans1, wrongans2, wrongans35",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 033
AAA034,this is longa question which is very long quesstion and can be as long as a paraghraph.034,"asnwaer0, asnwaer1, answer35","wrongans0, wrongans1, wrongans2, wrongans36",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 034
AAA035,this is longa question which is very long quesstion and can be as long as a paraghraph.035,"asnwaer0, asnwaer1, answer36","wrongans0, wrongans1, wrongans2, wrongans37",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 035
AAA036,this is longa question which is very long quesstion and can be as long as a paraghraph.036,"asnwaer0, asnwaer1, answer37","wrongans0, wrongans1, wrongans2, wrongans38",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 036
AAA037,this is longa question which is very long quesstion and can be as long as a paraghraph.037,"asnwaer0, asnwaer1, answer38","wrongans0, wrongans1, wrongans2, wrongans39",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 037
AAA038,this is longa question which is very long quesstion and can be as long as a paraghraph.038,"asnwaer0, asnwaer1, answer39","wrongans0, wrongans1, wrongans2, wrongans40",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 038
AAA039,this is longa question which is very long quesstion and can be as long as a paraghraph.039,"asnwaer0, asnwaer1, answer40","wrongans0, wrongans1, wrongans2, wrongans41",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 039
AAA040,this is longa question which is very long quesstion and can be as long as a paraghraph.040,"asnwaer0, asnwaer1, answer41","wrongans0, wrongans1, wrongans2, wrongans42",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 040
AAA041,this is longa question which is very long quesstion and can be as long as a paraghraph.041,"asnwaer0, asnwaer1, answer42","wrongans0, wrongans1, wrongans2, wrongans43",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 041
AAA042,this is longa question which is very long quesstion and can be as long as a paraghraph.042,"asnwaer0, asnwaer1, answer43","wrongans0, wrongans1, wrongans2, wrongans44",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 042
AAA043,this is longa question which is very long quesstion and can be as long as a paraghraph.043,"asnwaer0, asnwaer1, answer44","wrongans0, wrongans1, wrongans2, wrongans45",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 043
AAA044,this is longa question which is very long quesstion and can be as long as a paraghraph.044,"asnwaer0, asnwaer1, answer45","wrongans0, wrongans1, wrongans2, wrongans46",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 044
AAA045,this is longa question which is very long quesstion and can be as long as a paraghraph.045,"asnwaer0, asnwaer1, answer46","wrongans0, wrongans1, wrongans2, wrongans47",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 045
AAA046,this is longa question which is very long quesstion and can be as long as a paraghraph.046,"asnwaer0, asnwaer1, answer47","wrongans0, wrongans1, wrongans2, wrongans48",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 046
AAA047,this is longa question which is very long quesstion and can be as long as a paraghraph.047,"asnwaer0, asnwaer1, answer48","wrongans0, wrongans1, wrongans2, wrongans49",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 047
AAA048,this is longa question which is very long quesstion and can be as long as a paraghraph.048,"asnwaer0, asnwaer1, answer49","wrongans0, wrongans1, wrongans2, wrongans50",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 048
AAA049,this is longa question which is very long quesstion and can be as long as a paraghraph.049,"asnwaer0, asnwaer1, answer50","wrongans0, wrongans1, wrongans2, wrongans51",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 049
AAA050,this is longa question which is very long quesstion and can be as long as a paraghraph.050,"asnwaer0, asnwaer1, answer51","wrongans0, wrongans1, wrongans2, wrongans52",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 050
AAA051,this is longa question which is very long quesstion and can be as long as a paraghraph.051,"asnwaer0, asnwaer1, answer52","wrongans0, wrongans1, wrongans2, wrongans53",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 051
AAA052,this is longa question which is very long quesstion and can be as long as a paraghraph.052,"asnwaer0, asnwaer1, answer53","wrongans0, wrongans1, wrongans2, wrongans54",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 052
AAA053,this is longa question which is very long quesstion and can be as long as a paraghraph.053,"asnwaer0, asnwaer1, answer54","wrongans0, wrongans1, wrongans2, wrongans55",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 053
AAA054,this is longa question which is very long quesstion and can be as long as a paraghraph.054,"asnwaer0, asnwaer1, answer55","wrongans0, wrongans1, wrongans2, wrongans56",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 054
AAA055,this is longa question which is very long quesstion and can be as long as a paraghraph.055,"asnwaer0, asnwaer1, answer56","wrongans0, wrongans1, wrongans2, wrongans57",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 055
AAA056,this is longa question which is very long quesstion and can be as long as a paraghraph.056,"asnwaer0, asnwaer1, answer57","wrongans0, wrongans1, wrongans2, wrongans58",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 056
AAA057,this is longa question which is very long quesstion and can be as long as a paraghraph.057,"asnwaer0, asnwaer1, answer58","wrongans0, wrongans1, wrongans2, wrongans59",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 057
AAA058,this is longa question which is very long quesstion and can be as long as a paraghraph.058,"asnwaer0, asnwaer1, answer59","wrongans0, wrongans1, wrongans2, wrongans60",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 058
AAA059,this is longa question which is very long quesstion and can be as long as a paraghraph.059,"asnwaer0, asnwaer1, answer60","wrongans0, wrongans1, wrongans2, wrongans61",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 059
AAA060,this is longa question which is very long quesstion and can be as long as a paraghraph.060,"asnwaer0, asnwaer1, answer61","wrongans0, wrongans1, wrongans2, wrongans62",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 060
AAA061,this is longa question which is very long quesstion and can be as long as a paraghraph.061,"asnwaer0, asnwaer1, answer62","wrongans0, wrongans1, wrongans2, wrongans63",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 061
AAA062,this is longa question which is very long quesstion and can be as long as a paraghraph.062,"asnwaer0, asnwaer1, answer63","wrongans0, wrongans1, wrongans2, wrongans64",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 062
AAA063,this is longa question which is very long quesstion and can be as long as a paraghraph.063,"asnwaer0, asnwaer1, answer64","wrongans0, wrongans1, wrongans2, wrongans65",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 063
AAA064,this is longa question which is very long quesstion and can be as long as a paraghraph.064,"asnwaer0, asnwaer1, answer65","wrongans0, wrongans1, wrongans2, wrongans66",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 064
AAA065,this is longa question which is very long quesstion and can be as long as a paraghraph.065,"asnwaer0, asnwaer1, answer66","wrongans0, wrongans1, wrongans2, wrongans67",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 065
AAA066,this is longa question which is very long quesstion and can be as long as a paraghraph.066,"asnwaer0, asnwaer1, answer67","wrongans0, wrongans1, wrongans2, wrongans68",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 066
AAA067,this is longa question which is very long quesstion and can be as long as a paraghraph.067,"asnwaer0, asnwaer1, answer68","wrongans0, wrongans1, wrongans2, wrongans69",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 067
AAA068,this is longa question which is very long quesstion and can be as long as a paraghraph.068,"asnwaer0, asnwaer1, answer69","wrongans0, wrongans1, wrongans2, wrongans70",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 068
AAA069,this is longa question which is very long quesstion and can be as long as a paraghraph.069,"asnwaer0, asnwaer1, answer70","wrongans0, wrongans1, wrongans2, wrongans71",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 069
AAA070,this is longa question which is very long quesstion and can be as long as a paraghraph.070,"asnwaer0, asnwaer1, answer71","wrongans0, wrongans1, wrongans2, wrongans72",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 070
AAA071,this is longa question which is very long quesstion and can be as long as a paraghraph.071,"asnwaer0, asnwaer1, answer72","wrongans0, wrongans1, wrongans2, wrongans73",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 071
AAA072,this is longa question which is very long quesstion and can be as long as a paraghraph.072,"asnwaer0, asnwaer1, answer73","wrongans0, wrongans1, wrongans2, wrongans74",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 072
AAA073,this is longa question which is very long quesstion and can be as long as a paraghraph.073,"asnwaer0, asnwaer1, answer74","wrongans0, wrongans1, wrongans2, wrongans75",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 073
AAA074,this is longa question which is very long quesstion and can be as long as a paraghraph.074,"asnwaer0, asnwaer1, answer75","wrongans0, wrongans1, wrongans2, wrongans76",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 074
AAA075,this is longa question which is very long quesstion and can be as long as a paraghraph.075,"asnwaer0, asnwaer1, answer76","wrongans0, wrongans1, wrongans2, wrongans77",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 075
AAA076,this is longa question which is very long quesstion and can be as long as a paraghraph.076,"asnwaer0, asnwaer1, answer77","wrongans0, wrongans1, wrongans2, wrongans78",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 076
AAA077,this is longa question which is very long quesstion and can be as long as a paraghraph.077,"asnwaer0, asnwaer1, answer78","wrongans0, wrongans1, wrongans2, wrongans79",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 077
AAA078,this is longa question which is very long quesstion and can be as long as a paraghraph.078,"asnwaer0, asnwaer1, answer79","wrongans0, wrongans1, wrongans2, wrongans80",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 078
AAA079,this is longa question which is very long quesstion and can be as long as a paraghraph.079,"asnwaer0, asnwaer1, answer80","wrongans0, wrongans1, wrongans2, wrongans81",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 079
AAA080,this is longa question which is very long quesstion and can be as long as a paraghraph.080,"asnwaer0, asnwaer1, answer81","wrongans0, wrongans1, wrongans2, wrongans82",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 080
AAA081,this is longa question which is very long quesstion and can be as long as a paraghraph.081,"asnwaer0, asnwaer1, answer82","wrongans0, wrongans1, wrongans2, wrongans83",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 081
AAA082,this is longa question which is very long quesstion and can be as long as a paraghraph.082,"asnwaer0, asnwaer1, answer83","wrongans0, wrongans1, wrongans2, wrongans84",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 082
AAA083,this is longa question which is very long quesstion and can be as long as a paraghraph.083,"asnwaer0, asnwaer1, answer84","wrongans0, wrongans1, wrongans2, wrongans85",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 083
AAA084,this is longa question which is very long quesstion and can be as long as a paraghraph.084,"asnwaer0, asnwaer1, answer85","wrongans0, wrongans1, wrongans2, wrongans86",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 084
AAA085,this is longa question which is very long quesstion and can be as long as a paraghraph.085,"asnwaer0, asnwaer1, answer86","wrongans0, wrongans1, wrongans2, wrongans87",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 085
AAA086,this is longa question which is very long quesstion and can be as long as a paraghraph.086,"asnwaer0, asnwaer1, answer87","wrongans0, wrongans1, wrongans2, wrongans88",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 086
AAA087,this is longa question which is very long quesstion and can be as long as a paraghraph.087,"asnwaer0, asnwaer1, answer88","wrongans0, wrongans1, wrongans2, wrongans89",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 087
AAA088,this is longa question which is very long quesstion and can be as long as a paraghraph.088,"asnwaer0, asnwaer1, answer89","wrongans0, wrongans1, wrongans2, wrongans90",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 088
AAA089,this is longa question which is very long quesstion and can be as long as a paraghraph.089,"asnwaer0, asnwaer1, answer90","wrongans0, wrongans1, wrongans2, wrongans91",this is xplanation list sdfjljaf s sdafksdfl;sdjlf jsdf jsdk sdj fsjdklfskdf ddd 089
